,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
1,0.639841575960982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.959362335765709,0,0,0,0,0,0,0,0,-0.225791323486105,0,0,0,0,0,0,-0.0819050670310551,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1.06556230469119,0,0,0,0,0,0.0755490063815224,0,0.232137648851506,0,0,0,0,0,0.0996932331041646,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0.953270211622435,0,0,0.0818569318536997,0,0,0,-0.215794270432555,0,0,0,0,0,0,0,0.00409870740509449,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0.772145770707398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128179271172126,0,0,0,0,0
6,0,0,0,0,0,0.637718783303538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0.0818569318536997,0,0,1.09021027110412,0,0,0,0,0,0,0,0,0,0,0,-0.171985962334943,0,0,0,0,-0.163286420164955,0,0,0,0,-0.00113920667516641,0
8,0,0,0,0,0,0,0,0.82062982705072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175796153944478,0,0,0,0
9,0,0,0.0755490063815224,0,0,0,0,0,0.910220082168241,0,0,0,0,0,0,0,0,0,-0.00294369049578665,0,-0.182425440216531,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0.849862214598106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204244971082984,0,0,0,0
11,0,-0.225791323486105,0.232137648851506,-0.215794270432555,0,0,0,0,0,0,1.32840216433791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0.745087970436919,0.102643658583923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0.102643658583923,0.744481272911273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639540054319251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769654029460087,0.125852106185791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125852106185791,0.857403991430661,0,0,0,0,0,0,0,0,0,0,-0.0824711835244444,0,0,0
17,0,0,0.0996932331041646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840328432319153,0,0,0,0,0,0,0,-0.0874865743443354,0,0,0,0,0
18,0,-0.0819050670310551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832960263406082,0,0,0,0,-0.101456615802643,0,0,0,0,0,0,0
19,0,0,0,0.00409870740509449,0,0,-0.171985962334943,0,-0.00294369049578665,0,0,0,0,0,0,0,0,0,0.791519930897524,0,0,0.00656330476217554,0,0,0,0,0,0,0.00518935454705398,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73035235628134,0,0,0,0.0860386265559631,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,-0.182425440216531,0,0,0,0,0,0,0,0,0,0,0,0.967025005380147,0,0,0,0.13599518919029,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00656330476217554,0,0,0.797493957432833,0,0,-0.153029039879598,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101456615802643,0,0,0,0,0.744042169181242,0,0,0,0,0,0,0
24,0,0,0,0,0,0,-0.163286420164955,0,0,0,0,0,0,0,0,0,0,0,0,0.0860386265559631,0,0,0,0.897838124453581,0,0,0,0,0,0
25,0,0,0,0,0.128179271172126,0,0,0,0,0,0,0,0,0,0,0,-0.0874865743443354,0,0,0,0.13599518919029,-0.153029039879598,0,0,1.17008393293538,0,0,0,0,0
26,0,0,0,0,0,0,0,-0.175796153944478,0,0.204244971082984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03056531563705,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0824711835244444,0,0,0,0,0,0,0,0,0,0,0.723980839698623,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640075661692388,0,0
29,0,0,0,0,0,0,-0.00113920667516641,0,0,0,0,0,0,0,0,0,0,0,0.00518935454705398,0,0,0,0,0,0,0,0,0,0.637672892977892,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637801857076449
