"index","lambda","stars_summary","is_optimal"
1,3.02721826149452,0,FALSE
2,2.37563971313784,0,FALSE
3,1.86430695084781,0,FALSE
4,1.46303346747335,0.000923076923076923,FALSE
5,1.14813010055758,0.00248717948717949,FALSE
6,0.901006543673187,0.00526923076923077,FALSE
7,0.707073868499442,0.0118461538461538,FALSE
8,0.554883268079916,0.0274615384615385,TRUE
9,0.435450177006916,0.0692564102564103,FALSE
10,0.341723867997486,0.135935897435897,FALSE
11,0.268171212518094,0.217769230769231,FALSE
12,0.210450032784815,0.303333333333333,FALSE
13,0.165152761488675,0.38675641025641,FALSE
14,0.129605276209315,0.471820512820513,FALSE
15,0.101709032715415,0.534064102564103,FALSE
16,0.0798171774982248,0.585282051282051,FALSE
17,0.0626373258470442,0.622397435897436,FALSE
18,0.0491552659746212,0.6435,FALSE
19,0.0385750850688619,0.648525641025641,FALSE
20,0.0302721826149452,0.648525641025641,FALSE
