"index","lambda","stars_summary","is_optimal"
1,4.66364058612369,0,FALSE
2,3.6598384480963,0,FALSE
3,2.87209471201919,0,FALSE
4,2.25390496105077,0,FALSE
5,1.76877439040921,0,FALSE
6,1.38806333817596,0.00297435897435897,FALSE
7,1.08929654411291,0.00358974358974359,FALSE
8,0.854836323661999,0.00620512820512821,FALSE
9,0.670841328012343,0.0129871794871795,FALSE
10,0.526449420681501,0.0393333333333333,TRUE
11,0.413136431765558,0.0888846153846154,FALSE
12,0.324212933943448,0.151294871794872,FALSE
13,0.254429332429021,0.246358974358974,FALSE
14,0.19966595537354,0.345,FALSE
15,0.156689849219136,0.438576923076923,FALSE
16,0.122963921427584,0.516141025641026,FALSE
17,0.0964971633338101,0.569205128205128,FALSE
18,0.075727111036841,0.604397435897436,FALSE
19,0.0594276054120731,0.620935897435897,FALSE
20,0.0466364058612369,0.624192307692308,FALSE
