"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0.484016258745965,0.00606545406684831,-0.0170530346080626,-0.0468612011482247,0,-0.0186794824763864,0,0,0,0,-0.079982896685198,0,0,0,0,0,0,0.00266821763533001,0.00319755942099206,0.0290924547338918,-0.0483545007672357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0090381784056317,0,0,0
"2",0.00606545406684831,0.246924647544357,0,0.0125263700841621,0,0,-0.0326152272943243,0,0,0,0,0,-0.00845402149456295,0,0,0,0,-0.0349171758991587,0,0,0,0,0.028164032157865,0,0,0,0,0.024219399268413,0,0,0,0,0,0,0,0,0,-0.00711444523952656,0,0
"3",-0.0170530346080626,0,0.846046798864588,-0.0874158986902216,-0.0875535835911804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84360251334417e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",-0.0468612011482247,0.0125263700841621,-0.0874158986902216,0.909114781295718,0,0,0,0,-0.0948186294228231,0,0,0,0,0,0,0,0,0,-0.0235949121894823,0,0,0,0,0,0.00470256559077638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,-0.0875535835911804,0,0.761812959383415,0.0286153851921105,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0288630885861876,0,0,0,0,0,0,0,0.0141425078186716,0,-0.00887164205895776,0,0,0,0,0,0,-0.0467927754299222,0,0,0
"6",-0.0186794824763864,0,0,0,0.0286153851921105,0.135696284451404,0,-0.000488791876525561,-0.00497590134918961,0,0.0129496297302953,0,0.00939709505107431,0,-0.0447144055677606,0,0,0.00394997916645838,0,0,0.000226451679633357,0.00681503269985722,0,0,0,0,-0.0309379336511873,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,-0.0326152272943243,0,0,0,0,0.465831225754793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489145798445673,0,0,0,0,0,0.00267534416910904,0,0,0,0,0.000423525524746258,0,0,0,0,0,0,0
"8",0,0,0,0,0,-0.000488791876525561,0,0.230388683312623,0,0,0,0,0,0,0,0,0,0.0274471604189195,0,-0.0427628736187541,0,0.00193776279637673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00801818635992577,0,0,0,0.00213432278331207
"9",0,0,0,-0.0948186294228231,0,-0.00497590134918961,0,0,0.581814237251767,0,0,0,0.00418152412843666,0,0,0,0,0,-0.0483525250488352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.338605938751945,0,0,0,0,0,0,0,0,0,0,-0.00222678447721341,0,0.0013805508271094,0,0,0,0,0,0.0277203276970885,0.0187743946537701,0,0.00551174849780925,0,0,0,0,0.0121200481861545,-0.0136986155470112,0.0322925559103061,0
"11",-0.079982896685198,0,0,0,0,0.0129496297302953,0,0,0,0,0.55245822534472,0.0070726842490571,0,0,0,0,0,0,0,0,0,-0.00414519732344648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00796653957933407,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0.0070726842490571,0.34751701948262,0,0,0,0,0,0,-0.028287838836019,0,0,0,0,0,0,0,0,0,-0.017366366823387,-0.00624640864938777,0,0,-0.00315044224260123,0,0,0,0,0,0,0
"13",0,-0.00845402149456295,0,0,0,0.00939709505107431,0,0,0.00418152412843666,0,0,0,0.355265783317606,-0.00452790799373053,0,-0.0142256844225106,0,0.00874444114540512,0,0,0,0,0,0,-0.111877258620613,0,0,0,0,0,0,0,0,-0.0250397589735396,0.0476847097947776,0,0,0.0176460701558265,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,-0.00452790799373053,0.334961250276555,0,0,0,0,0,0,0,0,-0.0181638811639511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,-0.0447144055677606,0,0,0,0,0,0,0,0,0.282616887828459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000402042781789897,0,0,0,0,0,-0.0255655909631028,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,-0.0142256844225106,0,0,0.44303438689325,0,0,0,0,0,0,0,0,-0.141345474944112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530642203579233,0,0,0,0,0,0,-0.0233468783445358,0,0,0,0,-0.0225489520205853,0,0,0,0,-0.0325799530461593,0,0,0,0,0,0
