"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
1.35940014948713,0.0691409384173085,-0.242696990159001,-0.0865157370352035,0,0,0,0,-0.0518056727688933,0,-0.108178387792742,0,0,-0.128964716952983,0,0.0855642712496245,0,0,0,0,-0.284501806366718,0,0,0.130189290322141,0,0,-0.0144181098513003,0.0127034450473049,0,0,0.0327265501632853,0,0,0.0799652024858804,0.00941745004440247,0,0.0411222216390466,0,0.116871946633209,0
0.0691354305859592,0.973657592957312,0,0,0,0.0662168280691153,0,0.0570619314968517,0,0,0,0,0,0,0,0,0,-0.181564783705157,-0.00512813791948752,0.0586314589111626,0.129378319736085,0,0.0415572423729176,0,0,-0.0419685604597697,0.0187516840493686,0,0,0,-0.000498673469355789,0,0.0148947628617882,0,0,0,0,0,0,0
-0.242744429417491,0,1.73270476133166,-0.347258333884098,-0.247398106473798,0,0,0,0,0,0,0,0,-0.0234312545193737,0,0.0659056481856697,0.0457923872489857,0,0,0,-0.12548725445001,0,0,0.186949527323339,0.0235965550151442,0.0431897378011939,0,0.00766939885825066,0,-0.140712949788061,0.230650096010659,0.0359365009476405,-0.0855260976915369,0.0565763768868115,0.119887993880091,0,0,0,0.0713113408008516,0
-0.0865044126075774,0,-0.347235430937801,1.26430535934169,-0.107769458179945,0.154584622256354,-0.0363858396614556,0,-0.30247874384649,0,0,0,0,0,0.0706224946005447,0,0,0,-0.0979296040634845,0,0,0,0,0,0,0,0,0.0762116326819957,0,-0.0769333878044265,0,0,0,0,0,0.126030566132871,0.0605536759745866,0,0,0
0,0,-0.247390880421067,-0.107769539762842,1.33895895021309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134019311669945,-0.0720979711937339,0,-0.0179095757730221,0.117045278200989,0,0,0,0.0804005996214011,0,-0.0675016484510199,0.182914986273765,0,-0.110951238581937,0.115568977849531,0.014061184814854,0,-0.12375814317366,0,0.0236431062343438,0
0,0.0662213247616785,0,0.154584245416171,0,1.00956429935311,0.064578698101597,0,0,0,0.0016783992363423,0,0.0557548957921545,0,-0.213660730561732,0,0.0785024094695909,0,0.0297161075428473,0,0,0,0,0,0,0.0624285232222567,-0.0538632692860675,-0.00687339713601731,0,0,0,0,0,0.0991878273656722,0,-0.0157833421748555,0,0,0,0
0,0,0,-0.0363847651989085,0,0.0645767845542629,0.925235646381992,0,0,0,-0.025884066755497,0,0,0,0,0,-0.107134668703055,0,-0.012137769286182,0.0325043949646984,0.0477306985334089,0.056098957594381,0.0289696584772663,0,0,-0.0699014781584462,0,0,0,0,-0.0208327681003383,0,0,0,0,0.00518214007221167,0.0143654082172934,0,0,0
0,0.0570650930439806,0,0,0,0,0,0.943819353515768,0.00914990150314902,0,0,0.0227622211550902,0,0,0,0,0.0580296844615422,0,0,-0.168606043539797,-0.0176645103658943,0,0,0,0.0336389922058777,0.0712916522176456,0,0,0,0,0,0,0,0,0.00932687311096314,0,-0.0390549897680403,0,0.00414631546730226,0
-0.0518086634362221,0,0,-0.302479702630624,0,0,0,0.00915044684742853,0.989319948151278,0,0,0,0,0,0,0,0,0,-0.103467618311085,0,0,0,0,0,0,0,0,0.0106430554763634,0,0,0,0,-0.00718568038847678,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.887773949256599,0,0,0,0,0,0,0,0,0,0,-0.109796059891627,-0.0109738225077777,0,0,0.0174198665348,0.00555510591516992,0,0,0,0,0,0,0,0,0,0,0,0,0.0585469481118742,0
-0.108176145719825,0,0,0,0,0.00167410309876708,-0.0258850668329846,0,0,0,0.898117554281376,0,0,0,0.0304642814872707,0.0699481929460205,0,0,0,0,-0.0459140602673449,0,0,0,0,0,0,0.00256059190631214,0,0,0,0,0,0,0,0.0139451296728645,0.0586455545491817,0.0144917386501968,0,0
0,0,0,0,0,0,0,0.0227622998127408,0,0,0,0.885364434525165,0,0,0,0,0,0,0,0,0,0,0,0.0384325172683139,0,0,0,0,0,-0.106514440263558,0,0.017666160246528,0,0,0,0,0,0,0.0345956764758835,0
0,0,0,0,0,0.0557606633734702,0,0,0,0,0,0,1.09338493753695,0,0.0543804780423083,0,0,0.0481860379843567,0,0.0757295085884038,0,0,0,0,-0.38063421640765,0,0.00102966262281384,0,-0.082871991732461,0,0,0,0,-0.12847789056406,0,0,0.0570832030705785,0,0,0
-0.128965412381942,0,-0.0234362557930179,0,0,0,0,0,0,0,0,0,0,0.971193785811736,0,0.155406254067649,0,0,0.038790634691417,0,-0.064964299289729,0,-0.0158722440583606,0.013010601006512,0,0,0,0,0.0475462270026475,0,0,0,0,0.0105927700990289,0,0,0,0,0.0580515518909375,0
0,0,0,0.070621232015033,0,-0.213660835169303,0,0,0,0,0.0304630411058614,0,0.0543814024959187,0,0.985873075808267,0,0,0,0.0260041765003599,0,0,0,0,0,0,0,0,-0.182582773110233,0,0.0510296694529376,0,0,0,0,0,-0.0649014257124326,0,0,0,0
0.0855685310059102,0,0.0658907584081176,0,0,0,0,0,0,0,0.0699467012343543,0,0,0.155401204620594,0,1.09427079613718,0,0,0,0,0.0068344333048161,0.0591834435916286,0,-0.0725451091705809,-0.237783785244556,0,0.0871272832747126,0,0,0,0,-0.100593952567518,0,-0.0128175827602284,0,0,0,0,-0.0269644520713373,0.0111513980318641
0,0,0.0457873201897985,0,0,0.0784994259395348,-0.107128873280461,0.0580230100729779,0,0,0,0,0,0,0,0,1.24109516646046,0,0,0.0472315661507081,0.101579813963691,0.049856470857389,0.0926510581990876,-0.127237772143654,0,-0.221921498851511,0.111465399353918,0,0,0,-0.00477929508381622,0,0,-0.131936483015665,-0.0957140077062714,0,0.0450316340539387,0,-3.29435381849504e-05,0
0,-0.18156486201868,0,0,0,0,0,0,0,0,0,0,0.0481864011493304,0,0,0,0,0.90433589394855,0,0,0.0216101229379968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406144748706386
0,-0.00512824659332615,0,-0.0979292713073715,0,0.029715909022661,-0.0121381094098814,0,-0.103467583334093,0,0,0,0,0.0387909680368699,0.0260042637035845,0,0,0,0.900249255883411,0,0,0,0.00236876103991778,0,0,0,0,0.0159838142181583,0,0,0,0,0,-0.0136876299608781,0,0.0112393392576907,0,0,0,0
