2.002710000009790529e+05 1.821746807734464528e+05 2.050729905383187579e+05 2.137838737965320470e+05 2.264728099417460617e+05 2.471309554997058003e+05 2.846663246876830235e+05 3.606986188575370470e+05 5.270159005606663413e+05
2.339766000035671983e+06 1.976241354292547563e+06 1.594702920887236483e+06 1.544761723336833296e+06 1.495438381492904155e+06 1.447985680973153329e+06 1.403117381434407784e+06 1.360064207009471022e+06 1.323111740370144602e+06
1.372800000108853237e+04 1.292576006843542200e+04 1.196143969625863974e+04 1.209749195895313096e+04 1.228006612042744564e+04 1.270202985345700108e+04 1.366140632714562526e+04 1.516550301798525288e+04 1.834765679925159930e+04
6.694360000034612603e+05 4.564495701874250080e+05 3.278504248255237471e+05 3.163933671938023181e+05 3.072642550040114438e+05 3.012288629288101802e+05 3.010994665292394930e+05 3.125110784062281018e+05 3.533718627297116327e+05
5.236000000025481859e+04 6.641969857390888501e+04 9.003263248186490091e+04 9.821077513774408726e+04 1.091463055442885961e+05 1.267914073106792639e+05 1.529619765844047652e+05 1.977454871597778692e+05 2.669180019243881688e+05
2.309720000020407315e+05 1.518405925220917270e+05 1.230970845631124103e+05 1.223696097185725230e+05 1.227341549711045518e+05 1.253715862826377124e+05 1.319729810139276669e+05 1.493717447505904129e+05 1.923060720532745181e+05
1.516680000033065735e+05 1.251402290797069436e+05 1.247400178848649084e+05 1.281416482476447272e+05 1.322515836988492520e+05 1.396113736839461490e+05 1.520659966454703535e+05 1.763162191321848950e+05 2.327646047212347039e+05
3.555200000095868018e+04 1.919392882029902466e+04 1.173589746408235806e+04 1.062729584316204273e+04 9.848128469312394373e+03 9.175692817616361936e+03 8.624187308931908774e+03 8.360607132758445005e+03 8.777770777253192136e+03
9.726300000745404395e+04 7.388616677966580028e+04 5.613733802254879265e+04 5.433913458136880217e+04 5.279164888722257456e+04 5.136647680682434293e+04 4.983727038847397489e+04 4.905645923716238758e+04 4.931221944339946640e+04
3.827200000080720201e+04 3.174667351336770298e+04 3.445736304034536442e+04 3.607942876554298709e+04 3.843387004478151357e+04 4.182183706245805661e+04 4.647248735346121248e+04 5.544358763877400634e+04 7.064903620920950198e+04
