,GGL,single/uniform,single/indv
0,0.1905951194402358,0.18998134910997636,0.30387291664333266
1,0.2982508403615063,0.294043345798587,0.15713406120038773
2,0.06276777771817164,0.05924387043659474,0.07833748022294726
3,0.128795891143539,0.1295484516107468,0.10921667966519466
4,0.13563919881642333,0.13512308501848969,
5,0.2548098771631404,0.2557235148314653,0.3417411243588865
6,0.19162006270388834,0.1903362400311581,0.3226865462977552
7,0.22181133400983521,0.22127580563251079,0.20145943994636695
8,0.1849129319863117,0.18731696156964858,0.1453084025952056
9,0.16795753445544506,0.1678852423330103,0.6789051960927722
10,0.23618604843625735,0.2339843984504391,0.2710965516363444
11,0.43630930840318793,0.4362145492194136,0.24116250383821353
12,0.18424141256496449,0.18447037678268763,0.29361721399484325
13,0.15744351921903488,0.15617862619009157,0.1257132201160528
14,0.2484364385040741,0.2496997762503996,0.5282914718914323
15,0.33411038597608245,0.3341362985214504,0.4837205103514683
16,0.33905054492289843,0.3402535477638927,0.3823676406890349
17,0.47066027208628325,0.4684409388266497,0.26314221833094925
18,0.12882908915440894,0.1281700316824505,0.1281700316824505
19,0.25420718376491314,0.2554167806545111,0.27435786677741364
20,0.3400250325479067,0.3379325160217103,0.39526243264723326
21,0.10895754041224,0.11091588132501352,
22,0.18354567527380258,0.18171555613168922,0.32739042048803113
23,0.1954184244874348,0.19683355624245846,0.162473586380216
24,0.3230227630944273,0.32526674946604894,0.42307805210934685
25,0.21321887339627604,0.21264559457976298,0.643587825399894
