"","11874.X15.1095","11874.X15.1","11874.X15.515","11874.X15.1053","11874.X15.1092","11874.X15.2","11874.X15.1083","11874.X15.489","11874.X15.85","11874.X15.910","11874.X15.376","11874.X15.909","11874.X15.920","11874.X15.1055","11874.X15.1062","11874.X15.1227","11874.X15.1231","11874.X15.1239","11874.X15.1261","11874.X15.551","11874.X15.696","11874.X15.698","11874.X15.794","11874.X15.959","11874.X15.960","11874.X15.1085","11874.X15.850","11874.X15.1245","11874.X15.1081","11874.X15.1086","11874.X15.1254","11874.X15.1255","11874.X15.1256","11874.X15.1281","11874.X15.487","11874.X15.527","11874.X15.7","11874.X15.848","11874.X15.865","11874.X15.492","11874.X15.1251","11874.X15.1091","11874.X15.1253","11874.X15.1280","11874.X15.15","11874.X15.1262","11874.X15.146","11874.X15.231","11874.X15.293","11874.X15.303","11874.X15.587","11874.X15.73","11874.X15.149","11874.X15.261","11874.X15.248","11874.X15.218","11874.X15.311","11874.X15.304","11874.X15.317","11874.X15.104","11874.X15.110","11874.X15.123","11874.X15.128","11874.X15.134","11874.X15.188","11874.X15.206","11874.X15.212","11874.X15.224","11874.X15.236","11874.X15.243","11874.X15.256","11874.X15.267","11874.X15.275","11874.X15.281","11874.X15.286","11874.X15.297","11874.X15.301","11874.X15.306","11874.X15.308","11874.X15.320","11874.X15.327","11874.X15.338","11874.X15.418","11874.X15.440","11874.X15.450","11874.X15.470","11874.X15.49","11874.X15.584","11874.X15.585","11874.X15.61","11874.X15.68","11874.X15.829","11874.X15.834","11874.X15.99","11874.X15.136","11874.X15.325","11874.X15.412","11874.X15.194","11874.X15.163","11874.X15.295","11874.X15.142","11874.X15.424","11874.X15.322","11874.X15.446","11874.X15.80","11874.X15.181","11874.X15.144","11874.X15.448","11874.X15.55","11874.X15.42"
"4467447",238,211,35,40,12,144,64,252,38,91,31,49,101,57,89,102,86,148,45,47,62,1678,86,288,149,59,1158,71,160,156,384,39,0,47,254,113,52,589,35,244,12,49,0,44,44,6,0,14,2,439,0,47,19,14,0,0,11,706,18,830,0,2,198,3,1,46,5,3,3,1,86,9,5,258,5,967,393,3,0,4,26,20,1424,0,1,0,1,7,1,10,16,8,156,3,1,25,119,15,13,208,29,12,2,4,2,10,0,0,0,1
"4449054",300,147,39,15,15,198,37,484,15,195,42,14,39,57,88,58,88,216,302,48,113,780,58,74,126,19,1103,74,67,39,1017,138,20,63,101,100,10,165,85,433,3,71,0,36,75,1,0,0,0,3,0,0,0,13,0,0,0,19,35,3,0,0,1,0,0,3,0,0,5,0,10,0,0,0,0,23,7,0,0,0,374,0,16,7,0,0,0,0,0,0,92,0,0,0,0,42,21,0,0,314,0,0,1,2,0,0,0,0,0,0
"4303423",15,33,16,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3,0,86,0,0,0,0,32,0,0,25,1,4,5,2,0,0,579,0,6,2,0,0,0,0,0,0,1,2,0,0,0,55,0,0,136,2,5,25,0,0,0,19,17,10,0,2,0,200,30,0,0,0,1,3,0,0,1,0,4,0,9,0,0,0,7,7,0,1,0,15,324,0,26,10,8,0,0,0,4,1,0,0,2,0,13,9,3,0,31,4,5
"619140",0,0,0,0,0,0,0,0,0,9,0,5,8,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,5,0,7,36,39,0,1,0,0,29,0,0,0,0,8,0,0,1,0,0,1,149,1,0,0,5,2,8,0,14,687,0,1,0,0,2,2,2,3,16,36,1,2,1,1,4,0,0,7,0,0,0,0,0,0,16,7,0,9,12,2,26,0,25,0,1,0,0,27,0,0,0,0,0,3,8,0,0,0,1,0,2
"176690",0,13,2,2,4,8,5,1,0,0,0,1,1,0,4,0,0,7,1,0,1,2,4,1,3,1,4,0,3,11,13,2,0,0,14,18,1,9,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,5,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,2,0,0,1,0,0,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"2749126",5,3,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,3,0,0,0,1,0,0,3,1,2,2,1,0,8,0,18,6,1,0,0,0,10,2,0,8,1,0,0,19,17,3,4,2,3,1,0,0,1,2,0,1,3,0,1,1,0,0,1,0,9,3,0,0,3,0,0
"4425214",5,16,3,0,0,10,0,0,4,9,102,72,6,22,1,3,27,4,3,0,0,0,0,0,1,42,15,4,59,229,18,1078,336,96,182,16,34,93,1,26,88,83,18,81,8,317,671,63,84,752,76,2,84,294,0,390,272,537,0,76,0,5,0,8,3,23,0,5,3,617,0,0,4,3,97,5,1,14,2,31,0,6,631,2,26,140,60,0,1,66,1,0,2,3,5,0,5,1,0,130,1,0,2,2,3,1,7,12,12,0
"179620",0,0,0,0,0,0,0,0,181,81,217,70,72,0,9,349,0,189,1,76,0,6,154,100,60,0,12,0,1,0,0,0,0,471,0,0,0,0,0,2,0,1,0,180,21,0,123,76,0,0,59,20,0,33,20,196,1,717,1133,1,50,208,39,313,41,63,209,124,19,5,25,32,14,178,25,283,21,0,57,0,47,41,216,932,6,0,4,380,186,319,1,49,4,71,51,47,37,3,31,50,64,13,2,14,83,4,9,14,69,27
"4480861",37,411,18,0,0,0,0,0,1,0,0,0,0,57,19,0,140,123,243,2,2,34,0,344,148,363,0,146,0,0,0,0,0,0,0,123,0,0,346,0,0,0,0,0,0,1207,492,392,0,0,75,0,132,0,2,330,413,1214,13,1,25,28,86,52,19,210,239,169,118,11,3,7,40,242,86,499,76,231,1,56,35,22,2212,12,17,0,155,9,43,938,25,1,1,170,75,171,347,148,24,447,133,14,96,26,153,37,79,27,46,38
"183824",1,3,1,0,0,1,4,0,0,0,9,3,1,1,1,0,13,1,1,0,0,1,0,14,3,3,2,1,0,0,3,2,7,4,0,1,0,1,6,0,6,0,3,4,1,11,3,1,0,0,0,6,0,1,0,2,0,2,2,0,1,0,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,1,0,0,1,1,0,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0
"4443172",335,127,57,19,6,0,126,28,10,286,225,152,210,0,1,430,1,6,0,18,104,0,3,5,3,52,56,316,41,11,1024,133,21,76,155,563,261,50,757,21,10,56,16,236,53,12,289,35,1,24,74,38,10,107,36,302,267,33,219,0,20,25,0,67,76,12,0,32,11,0,21,3,51,76,0,29,12,21,0,26,40,75,0,16,26,0,113,65,7,600,351,21,17,25,223,20,12,368,10,173,92,29,7,58,9,386,0,4,6,80
"2403301",0,0,13,136,69,0,667,0,52,83,0,20,92,0,0,15,0,3,0,8,81,0,12,5,4,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,32,27,1,0,0,3,2,0,3,110,0,0,52,31,58,0,4,1,0,1,0,0,0,1,7,0,0,12,0,4,0,18,14,20,0,10,0,0,10,0,3,0,0,9,0,1,4,2,9,191,0,0,59,6,11,54,0,0,0,9,18,0,0,0,101,0,149,0,11
"193968",13,32,2,28,61,7,22,5,10,8,31,14,6,8,1,2,4,30,19,4,1,3,6,6,11,19,1,21,0,2,4,22,23,37,6,11,1,3,57,0,1,2,12,27,0,61,2,4,6,17,3,5,0,0,3,12,21,15,65,1,2,9,1,4,1,9,11,7,0,1,1,0,1,9,1,38,2,0,4,1,10,0,1,31,2,0,3,2,8,38,0,2,3,6,5,1,4,6,4,0,3,4,3,5,8,3,2,2,2,0
"583134",1,2,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,6,0,1,1,2,1,8,3,1,0,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,8,0,11,2,0,0,0,0,5,0,2,3,11,0,0,0,0,0,12,0,3,6,0,0,1,1,1,0,0,0,0,1,4,0,20,1,2,0,0,0,4,2,0,0,0,0,2,3,1,0,0,0,0,14,0
"291725",1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,1,1,117,338,0,0,102,1,0,0,112,68,0,9,1,2,8,101,0,170,4,1,5,994,1,0,0,15,596,366,677,1,115,0,1,2,0,449,0,26,277,0,290,34,363,4704,1,1026,137,57,851,1,0,21,272,0,3150,19,621,204,19,266,0,460,528,764
"191842",0,0,1,5,8,0,7,0,0,2,1,0,3,0,2,5,3,7,3,4,0,0,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,1,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,3,3,13,13,0,2,0,7,0,0,0,10,0,4,0,3,1,0,4,0,0,0,0,2,2,0,1,3,2,1,0,1,1,3,0,1,7,0,1,0,1,0,0,4,0,2,0,1,0,0
"176346",1,3,2,1,2,4,0,0,4,1,39,4,0,0,0,0,2,4,3,4,0,0,0,3,4,7,2,2,0,2,7,9,3,15,3,1,2,0,10,1,69,6,11,22,0,7,2,0,0,0,1,0,0,0,0,2,16,2,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,20,4,4,0,0,4,0,6,0,0,2,0,0,0,1,2,0,1,1,0,0,0,0,2,0,0,0,0
"4439603",1,5,0,1,0,2,0,0,0,0,29,1,0,1,0,3,3,0,2,1,0,0,0,0,0,4,4,1,3,18,3,164,103,53,5,2,12,7,3,1,0,14,3,15,4,6,27,5,18,16,1,9,0,157,0,16,0,9,1,0,0,0,0,1,1,0,1,0,1,9,1,0,1,1,7,1,0,4,0,2,1,0,2,2,6,0,4,0,0,11,1,0,0,0,0,1,0,2,0,2,0,1,1,0,0,0,17,3,4,0
"4465284",1,0,10,0,0,0,1,0,169,1,0,0,0,4,0,2,98,0,72,70,2,0,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,0,1,32,3,0,0,73,93,0,1,0,0,25,64,36,49,0,2,93,11,1,0,28,228,142,201,4,1316,35,0,0,31,31,12,0,36,15,0,2,328,32,77,30,35,28,166,1,43,13,2,344,710,5,40,8,1,49,12,0,24,5,6
"3537197",8,24,3,3,0,37,3,3,42,23,6,6,7,0,2,9,2,1,4,6,2,0,4,0,17,21,0,19,3,3,4,20,7,1,0,0,5,0,11,3,32,0,2,7,0,8,1,0,0,0,1,1,0,2,2,4,0,0,1,0,1,2,0,5,2,0,7,6,0,0,0,0,8,29,11,121,4,0,9,2,8,0,0,20,2,0,0,1,3,6,3,1,0,8,2,4,104,0,1,0,1,1,0,1,3,2,0,2,1,1
"194654",1,3,0,0,4,3,0,0,2,0,4,0,1,0,0,0,1,2,0,0,2,0,0,0,3,0,1,0,2,1,8,3,0,0,0,0,0,0,1,1,0,1,0,2,0,12,1,0,0,1,2,1,1,0,0,3,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,1,0,0,1,0,0,0,1,0,6,1,0,0,1,0,0,2,1,0,0,4,3,0,1,0,1,0,0,1,0
"174695",4,2,2,0,0,0,0,0,15,5,0,12,8,3,6,3,1,24,11,8,0,8,6,36,62,9,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,7,1,16,0,2,0,6,0,10,55,0,0,9,2,3,2,4,4,3,1,0,0,1,0,4,2,4,0,1,0,5,0,0,0,6,7,0,0,14,5,12,1,3,0,0,3,0,33,12,0,0,1,0,0,0,0,0,0,0,4,1
"300662",1,3,2,7,7,9,14,0,0,0,197,0,5,0,5,1,13,4,1,0,1,1,1,10,2,0,0,0,0,20,21,1,2,75,0,0,0,0,0,0,17,0,46,79,1,0,5,0,0,20,0,1,0,0,0,1,0,9,29,0,0,0,11,0,1,1,1,0,1,0,0,5,6,6,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,5,9,0,1,4,7,0,10,0,0,0,0,0,0,0,0,0,0,2,0,1
"4439469",0,23,1,6,7,7,5,3,0,3,7,0,0,0,1,3,5,1,1,119,0,0,25,6,7,2,1,6,0,0,2,2,1,0,0,0,0,0,0,0,4,0,2,3,1,0,0,1,0,0,3,0,0,0,6,0,0,4,10,0,0,0,25,0,0,1,2,1,0,0,5,0,0,13,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
"288690",184,2,0,0,0,0,0,0,2,15,0,180,39,0,488,21,0,788,0,5,0,2,1,18,1,0,0,23,0,0,0,0,2,4,0,0,0,0,160,1,0,3,0,0,0,0,0,1,0,10,0,22,0,10,0,0,0,88,0,41,0,67,592,0,13,77,149,0,38,3,0,2,0,12,0,0,0,0,0,0,0,0,0,0,68,6,2,2,0,0,0,0,3,0,0,2,49,23,0,112,0,0,1,0,0,0,0,0,0,1
"3275562",4,63,52,293,47,102,687,54,77,569,2,242,788,1,73,799,3,78,6,21,64,673,12,18,55,64,1180,1,36,211,36,10,0,1,20,212,9,128,0,304,4,342,4,1,16,3,195,33,0,51,26,2,3,229,5,1175,23,386,257,165,84,5,2,69,19,390,1,36,50,40,7,38,15,82,208,201,586,44,3,372,108,31,27,4,74,1,40,30,19,1457,996,116,86,43,609,552,134,16,34,488,193,170,8,15,106,12,0,93,208,123
"360730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,276,0,0,0,21,0,35,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,13,0,0,10,12,0,7,0,0,2,44,18,1,4,4,18,22,2,2,0,3,4,47,0,130,10,2,25,0,136,15,1,77,50,0,5,49,29,51,0,0,9,6,0,8,29,16,56,44,4,12,1,1,0,9,0,2,5,2
"183698",1,6,3,4,1,11,1,2,7,0,13,0,1,1,0,0,5,0,0,0,0,0,1,3,2,12,2,0,2,2,18,0,2,1,0,2,1,0,3,5,0,7,0,8,1,6,0,0,0,1,0,0,0,0,0,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,0,0,1,0,0,2,0,1,4,0,3,0,0,0,6,3,0,0,8,0,1,0,0,0,0,0,2,0,1,2,0
"4370941",1,4,1,0,0,0,3,0,1,1,0,0,3,0,1,3,2,0,4,3,2,2,7,2,0,3,1,3,0,0,0,0,0,0,0,7,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,34,1,0,1,3,4,0,0,4,1,0,3,1,6,0,0,0,0,1,0,0,7,0,0,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"195651",4,7,3,4,11,4,6,4,4,6,14,10,4,1,5,10,1,18,6,7,0,6,5,0,8,5,1,0,0,3,3,4,1,14,3,3,1,0,4,0,1,6,0,15,2,8,0,1,2,1,5,1,0,0,0,0,3,6,19,0,2,1,0,2,0,0,5,1,0,0,0,0,0,6,3,12,4,0,0,1,1,1,0,5,1,0,0,2,2,5,10,0,0,1,0,0,1,3,1,3,2,0,0,1,0,0,0,0,0,0
"527762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,89,59,158,0,0,0,0,3,270,1,5,27,6,216,25,5,1,0,0,8,21,0,0,68,109,45,0,8,72,0,25,85,0,1,5,33,82,0,0,0,530,197,0,2,1,37,0,94,5,0,36,68,26,0,10,3,5
"194129",0,0,0,13,16,0,22,0,0,7,8,3,1,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,2,0,0,0,0,3,0,175,0,63,2,0,0,0,0,0,2,2,1,0,0,0,2,0,2,9,0,0,1,0,0,0,0,0,2,0,0,0,2,0,1,3,1,1,0,0,0,0,1,1,0,0,0,1,4,0,58,0,1,0,0,0,0,3,1,0,3,1,0,0,0,0,0,0,1,1,0
"4405104",33,19,2,2,1,54,3,6,8,6,1,1,11,0,10,12,0,4,1,0,10,1,17,2,4,1,26,67,57,57,7,4,9,5,0,26,11,0,85,3,12,0,6,1,0,17,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,5,2,0,0,0,0,0,6,0,7,0,0,0,0,4,0,0,0,0,0,0,3,8,0,0,1,0,0,0,0,10,0,1,0,3,0,0,1,0,3,0,0,0,0
"191442",0,0,0,1,6,2,0,0,0,1,3,1,1,0,0,1,1,1,1,0,0,0,4,1,0,0,1,0,0,0,3,0,1,2,1,0,0,0,1,0,0,1,0,2,0,1,0,0,3,0,0,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,2,2,0,1,0,1,0,0,1,0,0,0,0,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"359762",0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,10,1,0,0,1,0,0,0,3,0,2,0,0,1,0,0,8,12,0,0,1,0,0,14,0,4,0,0,2,21,12,46,7,3,0,34,0,0,0,10,7,37,6,1,7,1,8,0,0,4,0,14,5,0,0,7,0,0,0,22,0,22,1,7,1,0,14,0,26,0,5,1,0,4,0,4,0,12
"512894",1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,0,2,158,0,0,225,44,62,0,1,1,0,59,587,0,91,7,0,32,277,103,0,90,282,61,131,0,1438,49,0,269,0,0,0,0,150,320,0,37,102,23,0,838,2,2,1,40,0,1,32,801,0,0,0,0,40,0,0,0,51,74,32
"16054",7,0,3,0,0,0,0,0,65,282,14,60,412,0,9,166,1,43,0,14,1,55,114,6,2,79,5,198,0,0,0,0,0,3,0,0,0,0,16,0,0,20,0,16,0,0,308,29,0,104,29,7,0,1,0,31,0,1354,0,0,2,23,0,41,17,9,0,7,19,0,0,78,7,12,32,140,8,1,4,3,0,30,0,19,0,0,24,65,0,0,1,3,0,67,130,219,1,8,0,5,155,0,6,0,45,0,0,5,74,29
"193551",4,5,4,3,1,3,1,1,2,1,3,3,1,1,7,1,0,4,0,0,0,1,0,11,12,6,2,2,0,0,1,3,3,0,0,3,1,0,5,1,11,0,7,5,1,0,2,0,0,0,5,0,0,0,4,4,0,5,0,0,0,4,2,4,0,4,10,2,0,0,0,3,3,6,0,17,3,0,0,0,0,1,0,5,1,0,0,1,0,1,0,0,4,0,0,1,3,3,0,2,4,0,0,4,1,1,0,0,1,0
"4326870",70,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1,0,0,1,0,0,0,56,0,0,40,0,0,1,0,0,0,0,5,0,0,0,103,1,265,0,0,4,76,0,314,0,4,1,2,14,0,0,60,1,0,0,2,51,42,49,17,1771,3,67,1,0,0,86,6,33,0,1,0,35,6,0,3,185,218,2,7,15,0,0,9,4,17,1,198,1,5,4,0,6,7,3
"305187",0,1,27,0,3,1,6,0,34,8,0,9,1,0,0,40,7,17,24,156,2,2,132,13,9,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,10,0,0,0,9,1,0,3,0,0,3,23,4,21,1,0,11,35,0,0,24,3,0,110,13,0,11,0,57,1,0,0,0,255,6,0,0,0,15,0,1,0,0,5,1,0,0,0,28,0,0,0,0,31,0,0,0,12,0,6
"4102199",0,15,0,10,24,13,96,2,40,15,3,2,10,1,0,1,0,1,0,27,0,0,7,6,2,6,7,2,22,18,5,21,15,1,4,6,0,1,2,5,28,1,3,5,10,0,1,0,0,7,16,7,0,0,2,0,0,92,11,75,7,4,3,5,0,47,2,24,0,1,1,0,6,280,7,6,6,0,3,1,0,0,1206,12,1,0,3,38,0,0,0,17,1,3,0,0,4,1,9,1,0,2,1,0,3,0,0,0,0,1
"4359258",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,51,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,84,1,0,0,0,0,0,12,91,2,46,13,0,52,3,11,0,0,1,1,1,0,1,0,1,20,0,12,41,0,136,69,1,7,3,19,286,12,6,0,327,0,0,1,398,1,0,0,29,0,16,2,6,0,39,0,3
"173810",171,0,23,0,0,2,0,0,0,0,0,1,1,0,9,2,0,30,0,0,345,385,6,0,1,62,244,119,0,0,0,0,0,0,0,0,0,0,288,726,0,0,0,0,59,0,15,0,0,0,5,0,0,0,0,0,0,112,0,0,17,70,0,0,0,25,0,16,0,1,1,27,0,39,2,0,14,0,0,0,151,44,0,3,50,0,0,27,38,0,1,0,1,94,21,105,0,0,0,0,72,0,0,7,3,275,0,22,0,112
"146586",0,0,33,0,0,0,0,0,0,0,0,0,0,17,4,0,33,26,25,1,3,11,0,51,53,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,32,4,7,0,15,21,12,1,72,44,25,24,25,3,0,7,52,24,30,9,15,41,33,12,3,5,8,12,57,7,101,0,8,49,1,23,0,2,59,12,0,8,45,11,22,8,29,13,12,24,4,21,13,19,7,0,2,4,0,6,10,0,6,4,2
"4481613",15,52,47,0,0,1,3,0,54,142,737,106,80,11,9,55,324,54,36,28,7,5,45,156,84,309,14,17,11,10,67,710,267,197,4,22,12,1,41,2,631,81,153,587,0,683,52,53,101,183,29,10,75,19,18,31,51,395,13,48,4,19,47,13,2,54,50,26,18,4,2,76,70,168,9,22,4,13,7,17,2,12,453,36,1,0,2,67,23,18,6,83,151,7,2,88,67,24,19,64,24,1,34,6,5,15,0,9,5,5
"173969",58,189,149,132,123,96,95,34,57,105,572,132,66,73,52,42,196,292,87,57,22,72,50,383,546,312,183,133,26,23,109,828,598,465,20,79,36,24,135,101,553,186,278,516,24,463,31,109,9,60,30,75,0,12,7,100,0,33,330,0,2,42,4,41,22,43,58,160,5,1,1,16,9,75,14,159,10,2,7,10,16,15,1,41,5,0,13,62,77,89,1,42,424,29,2,31,61,29,42,62,21,7,2,6,14,0,2,6,2,3
"198786",0,0,0,0,0,0,0,0,0,5,0,3,4,29,0,2,0,0,2,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,3,0,4,0,0,8,0,7,0,1,4,0,2,3,13,0,1,11,0,0,1,21,1,8,1,5,0,5,0,2,3,10,3,3,3,1,0,0,1,5,3,15,2,1,0,0,0,1,0,5,0,0,6,3,3,7,1,3,5,21,5,3,4,0,6,6,1,7,1,1,1,1,7,1,8,3
"4426438",491,971,62,1,5,98,38,215,49,38,98,69,12,28,39,47,72,210,32,46,20,87,87,109,48,182,0,748,26,95,111,639,469,38,24,235,16,50,1201,0,1064,2,763,108,0,196,34,8,17,461,14,1,0,2,4,4,0,178,60,0,4,1,4,31,0,42,96,37,18,1,5,10,10,129,14,298,16,0,0,1,19,6,0,64,9,0,4,21,13,143,1,12,114,11,3,18,27,1,8,0,21,2,76,9,27,0,8,15,9,0
"4333731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,377,1,0,201,38,0,14,0,6,0,17,0,1,0,49,0,248,93,1,1706,18,3,0,18,8,190,163,0,0,0,0,182,0,27,29,0,0,22,0,4,1886,10,0,16,0,2,6,4,91,2,0,116,0,86,10,1,0,15,146,0,1,0,3
"338950",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,33,0,1,0,3407,0,0,28,40,695,0,1,0,1,1773,214,71,441,2182,20060,3411,430,0,1326,38,0,1,1803,161,2,1,0,74,0,0,0,0,396,0,1,0,357,567,1,1,0,6,566,1,0,8,0,0,0,0,1184,2,58,0,2908,1,1608,0,754
"179291",0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,4,1,1,0,0,0,1,0,0,0,1,0,0,3,5,0,0,5,0,0,0,8,10,0,0,6,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,50,1,0,0,1,1,6,0,2,1,2,0,13,4,3,0,9,7,0,3,0,0,1,0,1,0,0
"178387",0,0,0,0,0,0,0,0,0,3,0,8,2,2,0,6,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,5,1,4,1,0,2,1,342,59,66,0,48,1,16,261,8,60,0,2280,86,0,132,84,2,33,225,856,29,269,42,67,6,4,80,954,816,3,69,293,0,84,76,226,2,71,72,45,16,407,229,814,546,222,15,45,3,1042,0,17,71,27,207,738,20,33,0,34,84,10,13,0
"299770",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,470,1,174,1,316,41,0,0,62,359,0,3,12,187,46,30,0,16,30,19,66,16,84,1,5,3,105,278,60,1268,24,197,0,0,111,126,3,13,40,14,48,209,14,992,0,14,13,101,145,30,0,61,77,1,165,207,0,1,17,160,105,53,255,164
"849393",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,34,171,80,0,527,0,0,0,38,86,33,1747,0,0,91,61,45,66,41,41,62,148,0,2,13,4,33,172,86,244,59,0,34,27,625,18,2,357,41,6,225,94,48,15868,1,38,4,140,151,0,1,0,351,27,54,0,0,38,11,119,65,29,63,21
"180606",26,23,0,2,0,3,0,25,19,24,1,22,31,4,0,68,15,1,9,19,0,1,89,0,0,0,0,2,0,0,0,0,0,0,0,38,0,0,1,0,1,0,0,0,0,0,0,1,0,121,0,1,0,4,0,0,16,407,29,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,1,3,0,14,1,3,0,0,0,0,0,0,5,1,1,0,0,0,62,3,0,0,0,0,0,0,0,0,0,0,0,0
"537219",4,2,13,0,0,0,0,0,4,7,0,0,2,0,2,2,1,6,1,6,3,9,6,23,12,2,0,2,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,6,0,1,2,0,0,10,8,3,0,4,3,3,6,0,2,12,1,7,0,15,0,0,10,0,5,0,0,6,0,0,0,7,9,0,1,10,0,0,0,6,0,0,2,0,0,5,0,0,6,0,0,1,0,0
"4447950",156,839,10,11,11,1175,206,43,12,10,0,1,7,196,55,1,3,173,119,1,24,60,1,164,78,0,4,90,27,2,6,1,0,0,2,39,0,40,20,7,4,3,1,1,14,2,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,1,0,0,0,0,0,4378,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4477696",54,1,97,135,3,4,19,10,5,8,11,114,10,95,31,7,73,9,6,5,15,31,4,2,33,4,52,2,274,200,80,114,640,359,286,123,399,156,14,69,0,437,506,15,33,52,92,7,79,560,72,201,2,1094,2,351,2,51,3,11,397,23,12,9,8,119,8,1,8,6,8,4,533,7,30,791,19,14,18,23,25,235,24,342,13,5,26,5,2,188,188,4,275,34,27,52,10,11,35,30,233,43,31,6,12,82,12,72,137,24
