"","11874.X15.1095","11874.X15.1","11874.X15.515","11874.X15.1053","11874.X15.1092","11874.X15.2","11874.X15.1083","11874.X15.489","11874.X15.85","11874.X15.910","11874.X15.376","11874.X15.909","11874.X15.920","11874.X15.1055","11874.X15.1062","11874.X15.1227","11874.X15.1231","11874.X15.1239","11874.X15.1261","11874.X15.551","11874.X15.696","11874.X15.698","11874.X15.794","11874.X15.959","11874.X15.960","11874.X15.1085","11874.X15.850","11874.X15.1245","11874.X15.1081","11874.X15.1086","11874.X15.1254","11874.X15.1255","11874.X15.1256","11874.X15.1281","11874.X15.487","11874.X15.527","11874.X15.7","11874.X15.848","11874.X15.865","11874.X15.492","11874.X15.1251","11874.X15.1091","11874.X15.1253","11874.X15.1280","11874.X15.15","11874.X15.1262","11874.X15.146","11874.X15.231","11874.X15.293","11874.X15.303","11874.X15.587","11874.X15.73","11874.X15.149","11874.X15.261","11874.X15.248","11874.X15.218","11874.X15.311","11874.X15.304","11874.X15.317","11874.X15.104","11874.X15.110","11874.X15.123","11874.X15.128","11874.X15.134","11874.X15.188","11874.X15.206","11874.X15.212","11874.X15.224","11874.X15.236","11874.X15.243","11874.X15.256","11874.X15.267","11874.X15.275","11874.X15.281","11874.X15.286","11874.X15.297","11874.X15.301","11874.X15.306","11874.X15.308","11874.X15.320","11874.X15.327","11874.X15.338","11874.X15.418","11874.X15.440","11874.X15.450","11874.X15.470","11874.X15.49","11874.X15.584","11874.X15.585","11874.X15.61","11874.X15.68","11874.X15.829","11874.X15.834","11874.X15.99","11874.X15.136","11874.X15.325","11874.X15.412","11874.X15.194","11874.X15.163","11874.X15.295","11874.X15.142","11874.X15.424","11874.X15.322","11874.X15.446","11874.X15.80","11874.X15.181","11874.X15.144","11874.X15.448","11874.X15.55","11874.X15.42"
"3746307",0,0,1,0,0,0,0,0,6,0,0,2,0,2,2,22,0,0,0,12,38,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,11,0,38,0,0,5,8,1,31,0,0,4,1,0,0,1,0,2,16,16,44,1,0,0,5,0,0,0,1,8,0,0,10,0,2,0,0,1,10,0,3,0,1,5,7,0,1,0,1,7,4,0,5,4,2
"4331364",0,1,0,0,0,2,1,0,0,5,3,4,3,0,0,2,2,1,1,0,0,0,0,1,2,1,1,0,0,0,1,17,11,3,0,0,1,0,3,0,38,1,10,5,0,2,0,0,0,3,2,0,0,0,0,4,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,4,2,1,1,0,1,0,0,0,0,0,4,1,0,0,1,1,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0
"4331360",11,1,3,1,0,3,2,2,14,15,1,2,15,5,14,24,0,18,18,9,11,3,13,0,11,4,17,5,38,75,104,0,0,1,52,10,8,75,6,9,4,7,0,0,3,1,4,2,9,19,0,13,0,7,4,11,15,24,47,0,3,19,3,6,0,2,11,22,4,0,7,0,5,17,5,44,6,21,7,0,5,0,0,40,3,0,7,8,7,56,22,0,0,42,7,2,5,7,1,2,52,5,0,1,1,5,13,1,1,0
"3472078",12,7,2,15,4,14,3,15,2,5,0,3,5,0,7,4,6,5,45,6,6,42,21,11,2,2,54,19,31,21,19,7,0,1,15,12,3,108,0,6,0,15,0,0,5,0,0,0,0,104,0,0,2,0,0,0,0,1,7,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"4480529",30,64,8,73,37,0,101,3,46,80,156,111,41,25,14,40,49,54,74,10,6,2,10,48,23,101,25,24,20,2,77,310,89,26,18,9,12,1,23,7,106,12,20,121,6,52,2,87,41,41,58,23,0,16,4,33,3,40,64,3,17,56,3,16,8,11,24,49,1,0,1,10,4,203,12,77,2,10,5,2,6,4,2,17,10,0,8,25,7,238,5,21,6,12,5,6,22,23,19,41,10,12,10,7,11,3,0,4,26,0
"195028",0,1,0,0,0,1,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,5,0,19,0,1,4,1,0,0,6,0,0,1,0,0,0,26,11,0,0,5,0,4,1,3,1,8,12,0,0,11,2,6,0,1,0,0,0,0,0,3,0,2,2,0,4,9,6,49,18,0,0,1,9,0,0,0,11,0,7,0,4,4,0,0,0,8,2,0
"175642",15,16,7,6,3,1,33,0,10,38,44,27,29,2,4,15,54,16,16,22,0,8,8,11,17,17,7,9,1,0,7,19,18,4,2,4,0,4,11,1,195,3,45,28,1,82,2,11,0,39,19,4,0,5,14,20,0,5,173,1,1,16,34,17,3,16,3,5,1,0,1,23,14,44,2,53,3,0,11,2,22,8,6,33,4,0,2,16,4,29,21,6,12,12,6,2,38,5,16,3,15,4,2,11,5,1,0,1,2,0
"248902",12,8,11,2,3,0,3,2,0,0,5,2,0,1,8,5,14,15,1,0,11,43,8,42,16,1,1,5,0,0,2,0,3,0,0,8,0,0,1,4,0,0,0,4,4,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,5,0,0,26,0,0,41,2,0,0,0,0,0,17,2,0,0,0,0,3,0,0,0,0,0,0,2,2,2,0,235,0,1,0,3,0,0,0,0,2,0,2,0,0,0,3,0,0
"296394",4,7,1,2,3,1,36,0,7,2,3,0,3,0,1,2,2,0,5,10,1,0,4,1,0,4,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,1,45,3,0,2,2,0,33,4,3,0,6,34,0,2,10,18,10,0,0,7,72,0,0,4,4,5,110,4,46,0,0,5,1,1,0,81,136,10,0,3,11,5,10,1,5,6,1,1,8,0,0,1,0,0,6,8,1,3,0,0,1,1,0
"4465124",73,47,88,36,30,0,4,0,4,27,1,6,30,1,28,35,26,28,61,98,98,25,62,24,32,21,0,64,0,0,0,0,0,0,0,34,1,0,149,0,2,0,1,0,0,5,7,15,0,416,34,1,1,0,109,77,0,6,10,1,73,118,280,82,7,2,108,91,5,0,201,9,28,180,36,205,23,0,164,7,408,43,0,459,33,1,2,38,23,135,34,68,10,11,44,11,99,1,131,0,24,46,3,134,62,17,0,44,5,5
"4468384",3,10,10,0,0,3,0,5,9,25,10,34,14,2,26,56,10,99,6,7,0,102,26,134,129,4,3,2,13,42,71,292,309,15,3,4,0,8,4,21,0,0,0,6,10,2,3,8,1,44,4,0,0,3,1,7,0,26,106,8,4,3,2,26,3,5,78,2,26,0,3,0,25,26,5,4,10,2,0,0,108,73,0,0,0,0,0,51,18,18,5,0,0,131,41,1,46,1,18,0,11,4,0,15,21,1,1,1,3,5
"956702",6,1,2,0,0,0,2,0,0,1,2,0,1,2,0,0,1,0,1,0,0,0,2,0,5,2,1,0,0,3,0,0,2,0,1,0,1,1,2,0,1,0,0,1,0,0,1,1,4,2,4,4,1,2,0,9,13,4,3,1,3,3,2,2,1,4,0,3,1,3,4,0,1,4,1,12,1,0,5,1,2,0,3,14,5,9,1,1,5,4,4,1,3,4,3,2,2,2,1,1,0,1,2,1,0,6,0,0,1,2
"363477",2,1,0,2,3,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,1,0,1,0,2,0,1,1,0,1,2,0,0,2,2,1,0,0,0,0,0,3,0,3,0,3,0,0,4,1,0,1,0,1,0,0,3,2,16,0,0,4,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0,1,4,0,0,1,0,4,4,3,2,0,2,0,0,1,2,1,0,1,3,0,0,0,0,0,0,0,0
"886735",6,4,2,6,3,4,6,1,2,5,3,6,2,5,2,3,2,3,2,3,3,2,6,3,5,2,2,2,2,2,5,5,1,6,2,6,4,1,1,4,4,10,3,4,3,1,2,1,4,7,4,2,1,2,2,7,1,6,4,5,6,11,2,1,2,5,5,6,1,3,2,1,2,9,2,13,3,0,5,0,2,0,8,17,4,2,3,4,4,14,4,3,2,11,1,3,2,1,4,3,2,1,1,1,1,1,2,1,2,2
"180999",119,74,70,134,59,20,167,32,83,248,89,169,193,39,192,126,9,236,74,40,50,13,96,74,48,135,133,115,73,80,45,10,24,49,61,41,27,34,263,31,3,87,6,37,27,247,25,21,4,9,584,1,1,21,4,233,23,141,984,10,17,133,29,238,3,15,178,113,25,0,11,1,6,216,72,71,26,3,7,25,14,6,1,201,28,0,177,18,78,422,54,25,7,70,134,14,135,147,24,22,11,10,0,44,35,10,0,31,47,29
"847711",0,12,7,0,0,0,0,0,0,0,0,0,0,1,20,0,11,66,5,0,0,7,0,9,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,1,0,0,1,5,0,3,7,0,5,29,7,10,2,0,24,15,0,0,5,3,1,10,6,111,1,0,2,0,9,0,0,43,2,0,0,10,6,0,0,4,0,0,2,1,11,0,0,0,0,4,0,10,0,0,0,8,0,0
"361966",23,68,14,7,16,3,25,4,53,34,57,58,27,20,11,28,1,41,34,15,7,9,24,30,77,49,27,29,0,1,24,82,46,135,6,10,2,8,32,7,2,55,4,35,5,101,79,87,19,25,89,99,0,29,9,54,121,179,38,1,20,23,7,17,7,60,22,16,10,7,2,3,26,70,10,205,35,15,4,22,27,6,1,60,10,0,19,19,27,189,44,47,41,13,2,20,53,55,8,21,79,24,8,16,30,35,20,7,36,3
"4409730",14,291,60,13,11,12,154,5,10,21,120,32,23,27,62,25,409,174,49,5,29,13,9,382,281,132,0,23,1,2,130,16,3,214,0,17,3,0,105,19,9,2,37,84,78,3320,63,0,0,34,4,8,0,0,0,6,0,25,10,0,5,3,44,39,1,9,87,28,50,0,1,14,0,57,2,958,9,0,0,1,5,144,0,60,0,1,3,9,58,55,108,31,1553,5,14,3,78,0,16,2,490,22,0,0,4,7,0,8,0,0
"825808",0,4,0,0,0,67,3,13,0,0,42,0,0,0,0,0,0,0,0,1,0,0,0,11,106,0,5,0,23,44,31,347,258,55,14,0,574,1,0,1,21,0,16,26,0,0,0,0,1767,370,0,0,992,1,0,0,201,0,40,81,0,0,1,0,0,207,0,1,0,21,0,0,1,1,0,0,2,0,0,0,0,0,11228,1,0,2103,0,1,0,1,0,0,67,1,1,0,0,0,0,29,0,0,1,1,0,1,0,0,0,0
"4401580",161,316,13,13,8,245,21,121,9,6,8,8,6,1,31,6,1,17,3,4,19,44,5,8,9,23,223,58,3,4,14,0,0,11,8,195,2,24,21,103,2,94,1,11,4,0,0,0,0,44,0,25,0,0,0,0,1,20,0,13,0,0,2,2,0,1,1,0,0,0,1,0,0,4,2,1,1,0,2,0,2,0,25,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0
"174911",21,11,5,33,16,5,45,1,3,18,0,18,7,2,10,12,5,26,10,7,2,7,10,15,32,21,0,24,1,3,38,55,28,0,2,3,3,0,18,0,32,0,1,0,0,27,0,0,0,96,23,0,0,8,12,60,0,0,44,0,10,206,6,35,5,14,71,97,2,1,5,36,12,57,3,31,4,0,6,3,24,16,0,65,7,1,1,41,4,51,33,5,2,66,76,9,47,7,31,3,23,4,0,5,39,2,1,7,2,3
"174912",0,0,74,0,0,0,0,0,0,0,0,0,0,7,68,0,97,38,292,0,36,0,0,19,75,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,5,6,21,0,0,2,34,0,6,0,0,135,26,14,4,0,21,52,12,24,0,0,22,11,157,36,0,14,0,11,90,3,4,0,0,1,0,9,1,1,15,0,4,0,0,0,12,0,0,0,0,8,4,0,4,0,13,0,1,73,1
"189588",1,7,1,0,0,4,4,2,0,2,21,1,2,6,1,1,9,1,1,0,0,3,0,12,10,5,1,0,0,1,3,14,19,1,2,1,5,0,1,3,12,0,0,18,2,12,1,2,0,11,3,3,0,0,0,6,0,5,4,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,2,3,0,2,2,0,0,4,3,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0
"4334844",0,0,14,9,3,0,2,10,0,0,0,0,0,2,3,0,15,6,14,2,13,8,7,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,7,51,3,0,14,37,61,0,82,16,0,14,99,20,36,11,90,75,24,84,5,34,56,47,35,25,419,6,0,20,31,7,6,1,1,22,0,0,18,47,14,41,12,1,90,0,36,11,3,54,59,12,10,8,14,68,9,2,11,7,7
"180572",1,0,2,0,0,0,1,0,4,0,2,2,2,0,0,1,0,1,3,1,0,0,0,0,3,2,2,4,0,1,1,3,0,2,0,0,1,0,2,0,0,1,0,4,0,6,20,3,0,2,4,1,0,1,17,1,5,9,2,0,26,0,0,1,0,2,11,6,1,0,0,0,18,42,0,4,33,2,1,1,2,0,0,4,0,0,2,0,38,7,0,2,1,0,0,0,2,1,0,2,1,1,6,58,0,1,2,1,2,0
"4433823",0,2,3,32,6,7,28,108,0,59,0,5,77,0,0,53,22,0,902,0,10,0,452,1,1,0,35,2509,306,292,706,66,2,0,741,0,91,1290,0,20,0,23,0,3,0,0,5,0,1,1931,0,2,14,1,2,0,149,0,2,365,0,4,7,0,1,62,18,0,0,3,268,0,10,4,3,5,16,0,4,0,45,36,96,4907,0,7,4,18,30,2,1,592,6,8,3,0,23,1587,3,324,106,0,1,815,875,0,0,0,1,2
"4472202",141,36,8,42,37,0,56,0,41,170,434,379,97,3,22,222,54,63,30,10,1,14,81,33,37,161,3,8,22,20,79,266,22,153,5,19,30,5,66,7,670,47,190,335,16,193,43,51,3,145,164,33,0,31,10,158,72,122,188,2,32,28,2,38,9,1,7,61,13,1,16,3,7,13,55,57,16,17,0,37,17,26,442,105,28,0,7,34,37,319,21,3,8,17,23,29,300,74,1,140,68,15,6,13,4,14,4,2,24,13
