"","2010.2247","2010.2218","2010.2184","2010.1817","2010.2321","2010.2405","2010.2383","2010.2297","2010.1656","2010.1364","2010.3053","2010.3014","2010.3183","2010.1614","2010.1418","2010.1331","2010.1229","2010.1272","2010.1405","2010.1221","2010.2204","2010.1397","2010.2583","2010.2192","2010.1854","2010.1372","2010.1557","2010.2082","2010.1477","2010.2191","2010.2416","2010.2519","2010.1258","2010.2781","2010.1754","2010.2662","2010.2354","2010.2277","2010.1277","2010.1663","2010.2355","2010.2291","2010.1999","2010.1905","2010.1526","2010.2839","2010.2803","2010.1956","2010.1675","2010.1299","2010.2227","2010.2528","2010.2049","2010.1412","2010.1344","2010.1286","2010.1843","2010.1514","2010.3108","2010.1263","2010.1668","2010.2924","2010.1718","2010.1336","2010.2949","2010.3095","2010.1237","2010.2347","2010.1311","2010.3129","2010.1992","2010.1603","2010.1569","2010.2831","2010.2871","2010.2693","2010.2075","2010.1596","2010.1491","2010.1423","2010.2232","2010.2283","2010.2258","2010.2415","2010.1322","2010.2963","2010.3171","2010.3275","2010.3134","2010.3141","2010.1471","2010.2413","2010.2304","2010.2958","2010.1539","2010.3102","2010.2932","2010.1626","2010.2328","2010.1552","2010.1762","2010.1737","2010.1458","2010.1538","2010.3103","2010.1868","2010.1912","2010.1519","2010.1879","2010.2058","2010.1485","2010.2278","2010.1725","2010.1564","2010.2265","2010.1963","2010.3178","2010.3282","2010.2913","2010.2655","2010.2605","2010.2152","2010.1244","2010.1806","2010.3115","2010.2395","2010.1577","2010.1692","2010.2972","2010.1531","2010.2168","2010.2905"
"4465907",0,28,80,0,2,81,2,0,0,0,41,17,31,2,0,0,0,0,124,37,136,11,3,0,0,0,395,0,171,0,37,0,0,299,46,0,0,0,0,0,0,0,0,276,3,0,5,0,1,0,0,0,0,3,1,0,2,0,71,3,0,1,0,11,51,226,0,29,1,0,689,625,240,50,21,10,19,49,8,15,1,1,2,4,1,2,115,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207284",0,7,1,0,2,2,2,0,0,0,0,0,0,0,0,1,2,0,1,1,4,0,43,49,4,52,0,1,1,0,27,0,0,0,0,1,0,24,2,1,1,0,5,2,8,3,2,0,16,1,70,35,15,17,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,2,22,3,17,0,0,4,1,1,0,0,0,0,5,0,0,0,0,2,0,1,0,0,0,13,0,1,2,1,0,0,2,0,3,3,6,1,35,1,0,3,0,4,0,0,0,9,0,7,1,35,4,0,0,0,0,0,0,0,0
"4467447",67,21,16,2,20,38,10,7,3,1,73,92,50,0,1,0,0,0,878,138,159,100,2,0,19,1,86,0,35,1,1,1,1,75,16,1,0,0,0,0,0,1,0,13,0,52,1,2,0,0,0,0,5,5,1,0,0,0,58,1,18,4,0,1,39,561,7,42,1,0,50,0,27,31,12,0,38,26,38,2,2,0,6,0,4,5,91,5,14,0,0,0,0,752,0,0,3102,6,0,0,0,0,0,0,1,0,0,9,3,0,0,0,0,1,1,0,0,0,1064,4,1,0,0,0,0,0,0,0,0,1,0,0
"4449054",13,11,47,0,13,43,6,7,0,0,1,0,0,0,1099,3,14,2,150,35,14,35,0,0,3,0,53,0,51,0,0,1,0,163,96,0,0,0,0,0,0,0,0,54,3,7,0,0,0,0,0,0,0,0,5,0,5,0,17,0,1,5,0,0,78,4,5,149,0,0,45,0,23,9,30,102,146,13,11,23,1,0,2,0,18,9,182,4,9,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,7,1,4,0,0,0,0,3,0,0,0,0,0,0
"137183",287,121,2,0,3259,882,3941,542,24,0,0,215,18,0,0,0,0,0,0,15,39,14,66,3,227,0,1,1,8,0,0,2,0,6,12,0,0,0,0,0,0,1,0,7,2,1,0,1,0,0,0,0,0,5,0,0,13,1,25,15,1440,0,10,0,0,0,0,0,0,2,14,0,43,0,0,21,12,79,0,577,18,0,1,0,0,0,140,25,0,0,0,0,4,0,0,3,0,411,0,0,0,1,0,0,46,10,0,0,47,0,0,0,2,0,0,0,1,0,0,3,104,0,0,0,242,4,0,3,0,0,0,0
"4437024",2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,0,4,0,0,0,16,1,0,9,2,0,0,9,4,0,7,2,7,0,0,0,0,1,0,10,1,0,0,0,1,1,0,1,1,0,1,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,5,1,10,2,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,19,0,0,0
"4453535",1,4,13,1,8,6,7,2,1,7,0,0,0,6,2,3,4,0,4,7,5,4,2,3,4,1,3,0,1,9,4,4,147,8,2,4,4,3,1,108,11,6,4,2,2,4,6,0,6,12,2,3,6,2,2,2,1,4,1,0,6,5,3,2,4,1,7,3,2,1,4,6,1,0,5,3,1,1,3,6,0,4,0,7,3,0,7,0,0,7,1,3,2,2,3,1,6,0,6,3,3,12,0,3,1,1,2,2,3,0,5,3,15,1,4,1,1,1,8,2,3,0,2,0,0,3,2,2,2442,3,0,0
"1096610",333,737,3007,287,4055,3735,3295,844,3375,89,2576,2137,2990,125,3267,1727,1,30,7,1548,3639,1702,938,133,31,1,154,526,117,12,3121,330,0,1243,224,1,248,379,2069,0,1892,74,3,861,2048,1,1124,459,0,0,0,124,2893,14,612,0,367,3,28,1584,3016,2219,1987,4512,928,1253,4656,759,1828,4,281,107,715,3220,4042,448,202,496,651,287,2787,489,299,4,604,1337,654,357,32,178,330,26,4,7,0,437,2,1976,1,352,2,1,1797,265,896,2030,2,4692,1198,1,0,2,11,69,2,0,724,910,0,267,6439,549,0,1739,343,1936,31,406,0,327,178,236
"1077373",15,5,420,1884,1253,1152,542,740,919,6,909,127,54,1,0,0,0,0,0,57,26,10,0,0,0,0,18,0,15,2,0,1647,0,48,16,0,0,0,89,0,0,1,0,7,1,0,102,169,0,0,0,176,24,0,2,0,68,0,155,306,1,241,110,34,40,203,216,236,258,0,39,0,48,19,42,945,167,248,7,296,332,412,627,1,7,58,48,230,138,1,1,0,3,0,1,0,0,0,0,0,0,0,0,2,0,8,0,305,771,0,0,2,0,0,1,0,0,0,0,894,574,50,0,436,36,1422,0,76,0,337,244,5
"4457438",0,25,7,0,9,142,9,9,2,0,3,3,25,0,0,0,0,0,1179,236,108,36,0,0,0,0,267,0,393,0,697,0,0,659,532,0,0,0,1,0,0,0,0,0,18,0,5,0,0,0,0,0,1,14,21,0,0,0,2523,1,1,1,0,6,237,41,30,104,0,0,2,0,599,1,33,0,0,78,38,8,0,7,4,217,2,0,1233,123,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,43,3,1,0,0,0,0,0
"912997",0,2,131,3,8,55,177,1,186,9,34,614,996,0,0,0,0,0,0,1,68,9,15,0,53,0,2,1,4,0,1,0,0,87,214,0,0,0,7,0,0,0,0,16,6,0,0,2,0,0,0,0,72,0,4,0,145,0,2,3,1,0,354,127,48,5,91,1,0,0,29,0,54,0,0,0,4,1,5,0,0,1,0,0,1,23,89,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,37,0,883,4,0,0,0,4,0,1,0,0,0,0,0,6,0,0,0,0,1,0,1,0,2,1,0
"4365130",0,0,45,27,0,0,0,0,0,11,0,0,1,3512,2389,907,841,659,96,30,2,31,0,0,218,0,126,0,106,0,0,2,0,164,73,0,0,0,2,0,0,0,1,93,3,4309,2,0,0,0,0,0,8,11,3,0,6,1,8,1,81,1,0,7,45,8,105,51,3,0,130,0,94,64,7,17,204,73,9,18,0,0,5,1,2,6,137,9,6,0,0,0,0,1485,0,0,3111,162,0,2,1,0,0,0,0,0,1,27,8,0,2,0,0,0,0,0,0,0,69,2,0,0,0,1,23,1,0,1,3,2,0,0
"4458306",0,0,3,0,0,2,1,0,0,0,2,4,1,40,90,716,2,20,15,1,1,2,0,125,1,0,3,1,1,20,318,1,1,2,2,0,1080,250,1,1,2723,152,0,0,143,2,0,0,0,1,0,117,0,3,911,9,0,268,0,0,0,2,1,0,1,4,1,1,3,0,0,4,1,0,0,1,0,2,2,1,2,2,0,4037,0,0,0,1,0,17,18,16,12,1,131,3,1,0,7,94,144,1255,128,240,1,1,13,0,0,0,1,15,2,4,339,0,79,273,0,1,2,0,0,0,1,0,30,1,1,1,1,3
"851668",247,133,16,1048,2516,525,4625,2145,42,0,0,0,0,0,0,0,0,0,0,441,6,4657,9,0,46,0,106,0,169,2,25,4,0,58,4,0,0,0,107,0,0,2,0,3,0,10,2,33,0,0,1,3,211,1,1,0,16,0,3,73,798,746,86,31,219,1,179,7,0,1,17,0,72,3,2,137,22,1251,1435,1125,21,3,1,0,355,36,796,70,7,0,0,0,4,0,0,0,1,738,0,0,0,0,0,2,0,33,0,0,434,1,2,0,2,0,0,0,183,1014,0,14,1280,0,0,280,893,4,0,150,0,586,0,4
"4344207",9,17,0,17,649,246,916,148,1,0,1,0,249,0,0,0,0,0,2,1,2,144,2,1,6,0,13,0,3,0,0,8,0,1,0,71,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,21,0,6,0,0,16,0,7,0,1,59,15,1,0,5,0,4,0,31,84,6,20,95,11,2,2,1,0,5,61,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,12,0,0,0,0,2,36,0,0,2,24,0,0,0,0,4,0,42
"246717",0,0,272,0,2,31,0,0,339,3,21,380,45,0,0,0,0,1,0,1135,0,103,0,1,1,0,0,0,0,0,0,120,1,0,233,0,0,0,64,0,0,1,0,26,4,0,1,31,0,1,1,9,9,0,3,2,31,0,365,600,37,1,258,0,0,69,582,398,384,0,21,0,0,0,0,1663,58,4,143,0,0,682,368,3,166,0,66,2744,1203,0,0,0,2,0,0,0,0,180,0,0,0,0,0,0,0,5,2,400,204,0,1,0,0,0,1,0,0,0,0,1642,2242,208,0,0,55,682,0,76,2,16,215,5
"3805726",3,0,22,43,10,12,6,3,0,2,0,0,0,0,0,0,0,0,0,501,0,213,0,0,0,0,41,0,29,0,0,23,0,109,19,0,0,0,20,0,0,0,0,4,0,0,182,26,0,0,0,5,0,0,3,0,4,0,120,153,0,124,34,5,77,0,72,7,119,0,13,0,126,129,23,51,10,150,47,57,7,118,72,0,129,119,11,110,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,54,79,0,0,0,0,0,0,0,0,0,0,13,14,22,0,76,53,72,0,56,0,2,52,3
"1566691",0,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,12,10,1,22,0,6,0,0,10,0,0,1,0,0,0,6,0,0,1,0,4,0,0,2,0,0,2,0,31,31,7,7,0,2,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,11,2,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,2,0,1,3,0,0,3,0,1,0,0,0,1,0,0,1,1,3,0,9,0,0,0,0,0,0,0,2,1,0,3,0,9,2,29,0,0,0,1,0,0,0
"4461030",140,0,1,0,0,0,0,0,0,0,0,0,0,37,5,8,3,169,1,0,2,0,0,181,0,0,0,6,2,823,3,0,0,0,0,14,18,77,0,0,98,33,23,0,108,0,1,0,0,603,1,5,0,4,253,10,0,173,0,0,0,0,0,0,0,0,0,3,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,105,67,248,0,121,0,0,0,212,92,105,81,41,29,0,1,642,0,0,2,197,203,163,88,155,101,12,53,0,0,0,0,0,0,2,0,68,0,0,1,0,0
"495017",7,8,137,806,792,386,89,240,808,0,32,0,1,0,0,0,0,1,2,202,337,7,7,0,0,0,13,0,43,2,13,1525,0,143,420,1,1,0,66,0,0,0,0,0,15,11,632,32,0,0,0,285,26,0,10,0,2,1,56,1206,0,1588,2346,31,295,7,462,130,69,0,5,2,96,161,63,290,58,9,52,304,26,154,263,2,119,117,17,335,74,0,0,0,2,0,0,0,1,0,0,0,0,0,1,5,1,4,0,200,550,0,0,0,0,2,0,0,0,0,2,481,533,96,0,477,51,229,0,1071,0,329,108,2
"4442130",1,1,5,0,2,1,0,2,0,0,0,1,0,1,1,0,0,1,3,4,4,1,0,109,0,0,0,0,0,485,4,1,144,3,0,3,9,259,0,45,9,13,11,0,1,6,1,1,0,14,0,3,2,0,0,7,0,1,0,0,8,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,1,1,0,2,8,4,11,23,0,0,12,1,1,3,0,7,7,0,5,0,0,2,4,531,3,0,12,2,0,1,0,0,0,1,1,1,0,0,0,0,1105,0,1,0
"4445673",0,0,1,0,0,1,1,0,0,0,0,0,0,77,0,0,19,0,0,0,0,0,0,1,0,0,0,221,0,17,63,0,0,0,0,1,48,2,1,0,68,122,72,0,135,9,0,0,0,2,0,139,0,12,2029,0,1,4,0,0,0,0,0,0,3,0,0,7,0,0,0,69,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,23,435,18,0,57,0,0,0,1,0,710,2245,205,227,0,2,80,1,0,0,504,1,1605,205,1180,192,0,19,0,0,1,2,0,2,0,0,29,0,0,0,0,0
