"","4468234","4436552","4481131","4457438","4402903","4448331","2829179","4306262","4480861","4476877","4365130","4347159","505670","841635","1071450","4446058","4425214","165118","4481613","4402605","4453609","175844","325850","952003","1000986","4477696","359872","710275","128300","4409730","4387092","4420570","4446320","12574","1696853","1117593","4428714","290455","4396235","177679"
"10317.000100394.54640",2252,4,5744,2851,823,6519,316,1204,91,0,95,4,5,146,5335,25,4,73,22,92,180,124,1042,4,56,9,37,1,0,96,0,0,15,0,29,0,48,0,1,0
"10317.000042857.64038",8229,19,6649,4589,1530,105,41,87,78,1,384,262,0,378,4,8,6,0,35,13,892,101,2,2,4,4,5,0,4,177,1,1,71,1,0,1,205,0,3,0
"10317.000041748.55074",4734,3,1101,6014,217,409,174,9,35,25,126,13,4,2,254,10,82,552,44,0,234,98,21,3,4,0,53,0,37,25,0,0,8,0,1,1,0,0,0,0
"10317.000036935.48015",593,791,6409,4916,2365,13,897,55,255,7,370,35,0,23,1,2,4,108,236,102,41,1,0,1,8,0,151,6,0,462,0,6,65,0,0,6,0,0,1,0
"10317.000038305.48014",5613,21,3302,1398,1734,16,197,64,83,56,694,4,63,225,1,356,11,37,35,16,467,42,48,2,2,0,49,1,0,65,0,0,4,1,0,12,195,33,1,3427
"10317.000072559.48065",869,7,35,312,7,3612,4,5,6,0,71,1,1,0,47916,0,39,2,1,0,3,0,0,0,0,0,0,3,2,19,0,1,14,0,0,0,0,0,0,0
"10317.000094611.54458",803,16,1367,7829,68,34,1042,0,2165,0,135,2646,13,0,2,0,2189,2,181,0,92,9,0,2,9,1,0,1,179,806,1,0,26,12,2,1,1,0,0,0
"10317.000036432.48041",17,1,385,15483,1255,9,13,15,690,0,0,2127,0,0,1,0,67,0,1347,1,1,1,0,0,2,0,0,0,0,235,0,0,203,7,1,0,0,0,0,0
"10317.000007310.48062",40,131,6,17,1,578,296,0,1,0,102,0,189,1,14267,160,1843,45,9,0,1,0,0,347,243,4577,0,133,48,0,82,599,1,48,418,37,0,0,189,0
"10317.000097500.56194",1522,29,198,539,766,15882,84,3,97,0,88,25,0,0,2,1,5,0,6,0,53,9,0,0,0,1,47,1,0,11,0,0,1,0,0,1,0,2,0,0
"10317.000067691.48085",11236,108,4640,2724,817,909,114,1455,420,878,1479,186,22,165,0,0,19,2,88,91,940,2,31,0,1,0,146,0,1,4,0,0,53,2,0,0,1,0,0,0
"10317.000053372.48086",5041,562,20736,7092,10226,82,702,164,156,0,532,67,2,102,3,34,27,132,83,245,993,393,5,0,12,3,198,3,31,982,0,2,75,0,0,0,925,0,7,0
"10317.000098743.64038",381,1891,2665,2327,243,45,3306,39,127,0,26,84,2,6,2,0,41,87,16,2,109,1,3,0,1,1,40,0,14,64,0,0,86,4,0,0,0,0,0,32
"10317.000075933.54458",5794,9059,1497,4087,277,73,608,73,116,0,445,53,0,3,7,40,496,0,21,10,226,53,0,4,14,0,43,1,7,28,0,0,20,0,1,0,3,0,0,2
"10317.000032727.56081",218,4,30,840,22,43036,12,0,10,0,98,6,0,2,14,0,46,0,8,0,4,0,2,2,0,0,112,0,0,0,0,0,0,8,2,0,0,0,0,18
"10317.000085152.66115",86060,17293,279298,100003,24930,3842,13501,195,24856,64378,11456,255,176,3106,191,19,163,7078,7805,8220,9277,6399,54,17,29,17,5538,10,27,987,53,0,1897,86,1,69,113,41,0,99
"10317.000012797.48062",2,24,0,1,0,0,73,0,44,0,0,0,2975,0,0,3189,266,0,0,0,0,0,0,68,213,46,0,71,19,0,6,30,1,0,0,16,0,0,13,0
"10317.000007319.48068",151,200,31,155,101,47,248,14,77,0,913,0,398,1,122,526,1548,181,21,0,7,0,0,336,1213,2686,12,2978,2336,139,259,137,7,299,137,118,14,3,808,37
"10317.000085154.66115",249196,3440,56668,40187,112062,8566,2493,153,6531,31225,12559,1057,18349,1710,171,23,300,197,4554,12921,12930,19359,68,16,3087,15,2103,8,34,1383,50,2,551,338,1,29,3830,43,0,117
"10317.000068684.69026",10753,3577,1572,2132,1042,842,395,1673,35,1,762,103,2219,94,8,7,32,1,67,325,716,122,18,0,31,4,9,0,402,266,0,2,38,141,0,0,278,0,4,20
"10317.000097213.54640",2077,3,3000,2013,2532,33,63,80,12,0,116,1166,0,99,3,0,11,55,69,265,275,81,615,1,0,0,48,0,219,32,0,3,32,0,0,2,52,0,0,1
"10317.000097497.56081",8878,0,535,972,18,9719,61,1,174,4,229,36,3,58,2,0,0,1,13,0,2,1,0,1,0,6,37,1,2,1,1,0,3,7,0,0,0,0,0,10
"10317.000030728.48014",6266,3,8281,5160,1912,20,243,1,98,89,265,5117,0,409,2,2,139,0,353,1,794,340,176,0,1,7,96,9,0,455,0,23,23,0,1,5,28,0,0,0
"10317.000097103.54458",24290,10,740,1231,57,79,565,4,16,1,7,9,0,0,4,4,10,1,16,1,782,3,0,0,0,2,1,0,1,1,0,0,15,0,0,0,3,0,5,0
"10317.000010326.48062",186,163,188,175,3,98,52,0,206,0,17,0,101,62,824,1111,2557,180,0,0,0,0,0,521,1019,225,0,279,315,1,171,246,38,272,180,2271,0,0,147,0
"10317.000060344.48089",3776,1136,4471,5327,200,53,311,123,178,14,356,258,257,419,2,41,31,232,19,0,172,22,118,0,137,13,57,0,0,44,5,0,192,17,0,1,0,0,0,0
"10317.000046319.50265",4591,68,7041,4169,3608,943,192,241,644,208,1094,25,1,119,3,0,381,187,167,51,276,704,15,5,0,3,70,1,12,286,5,0,178,0,1,0,11,1375,1,0
"10317.000093400.52714",6501,5,2030,4305,469,17,59,0,375,6,565,56,0,299,0,0,4,1518,37,6,903,525,418,1,6,0,53,0,0,42,0,0,14,0,0,1,0,0,0,374
"10317.000066616.48058",7210,9,921,1702,936,17294,185,195,160,0,290,2,1,1,4,17,18,3,21,4,474,32,1,0,4,0,27,1,8,40,0,0,4,1,0,0,4,0,10,2
"10317.000044543.48049",1718,0,68,456,16,2705,116,0,7,1,74,0,0,1,0,20,6,0,0,0,27,0,0,0,2,1,2,2,3,0,0,0,0,1,0,0,0,0,0,0
